01	royal-palm-hotel-site	25.770550	-80.188500	60	history	Riverwalk at the bay end of the north bank, where the river opens into Biscayne Bay
02	freedom-tower	25.780312	-80.189714	40	history	building; 40 m reaches the Biscayne sidewalk the script writes from
03	bayfront-park	25.775380	-80.186166	100	natureAndParks	32-acre park; torch, fountain and Challenger are spread across it
04	miami-circle	25.769358	-80.189164	40	history	small park at Brickell Point
05	brickell-avenue-bridge	25.769905	-80.190024	50	architecture	bridge sidewalk, downtown side
06	ocean-drive-art-deco	25.780613	-80.129893	120	architecture	Lummus Park BEACH; the Deco row runs many blocks
07	lincoln-road	25.790304	-80.136518	120	architecture	"stand anywhere along it" — pedestrian mall
08	maximo-gomez-park	25.765491	-80.219374	30	culturalHeritage	small fenced park; kept tight, 33 m from stop 25
09	cuban-memorial-boulevard	25.765400	-80.216700	50	culturalHeritage	N end of the median at Calle Ocho, where the column stands
10	the-barnacle	25.725332	-80.242557	60	history	Main Highway under the hammock canopy, Barnacle gate + Peacock Park
11	vizcaya	25.744381	-80.210502	100	architecture	entrance drive approach, not the house interior
12	wynwood-walls	25.801139	-80.199658	60	visualArt	streetscape along NW 2nd Ave
13	dade-county-courthouse	25.774587	-80.195136	40	architecture	exterior only; 40 m reaches the opposite sidewalk
14	dupont-building	25.774540	-80.190642	40	architecture	40 m reaches the diagonally-opposite corner the script names
15	gesu-church	25.775983	-80.191663	40	sacredSites	exterior only; across NE 2nd St
16	miami-dade-cultural-center	25.774463	-80.196586	50	architecture	the raised Philip Johnson plaza
17	ferre-park	25.784245	-80.187316	100	natureAndParks	main lawn between PAMM and Frost Science
18	lummus-park-downtown	25.776190	-80.201237	60	history	Lummus Park DOWNTOWN, 360 NW 3rd St — not the Beach park
19	espanola-way	25.786811	-80.136966	80	architecture	two-block pedestrian lane
20	casa-casuarina	25.782015	-80.130630	30	architecture	exterior only; sidewalk outside 1116 Ocean Drive
21	south-pointe-park	25.765923	-80.133447	100	natureAndParks	southern tip facing Government Cut
22	holocaust-memorial-miami-beach	25.795451	-80.136224	40	culturalHeritage	at the entrance path
23	jewish-museum-of-florida	25.772523	-80.134232	30	culturalHeritage	301 Washington Ave, the joined 1929 + 1936 buildings
24	fontainebleau	25.818085	-80.122042	60	architecture	Collins Ave sidewalk; the slab is long and curved
25	tower-theater	25.765357	-80.219672	30	musicAndPerformance	kept tight, 33 m from stop 08
26	lyric-theater	25.782223	-80.197696	30	musicAndPerformance	819 NW 2nd Ave
27	overtown-interchange	25.786500	-80.198500	80	history	NW 2nd Ave beneath the decks — a stretch, not a point
28	bacardi-building	25.797375	-80.189381	40	architecture	2100 Biscayne Blvd at 21st St
29	little-haiti-cultural-complex	25.830313	-80.191985	40	culturalHeritage	Caribbean Marketplace, 5925 NE 2nd Ave
30	virginia-key-beach	25.736439	-80.156325	120	history	beach park; the script looks along the sand
